time,Qobs,Qrouted
1980,3.75344262295082,4.7152599716681465
1981,5.497205479452055,6.430260631777414
1982,4.471342465753424,4.986217817272717
1983,3.1218904109589043,3.516027247839561
1984,2.9754918032786883,2.3502253101195913
1985,6.51668493150685,8.253438019047078
1986,5.149616438356164,5.986920747306662
1987,6.946657534246576,8.12055213544832
1988,4.709207650273224,4.816093773528009
1989,2.8920547945205475,3.4693437525428235
1990,2.7006027397260275,2.241970785887908
1991,2.6496438356164385,2.8053285623779214
1992,3.426311475409836,3.2897549988292965
1993,2.1156849315068493,1.1112399017818466
1994,2.8252082191780823,2.803587428188297
1995,4.271479452054795,5.780614498453494
1996,5.343442622950819,6.315165314773021
1997,6.779150684931507,9.225757900194886
1998,3.571260273972603,4.530268875302646
1999,4.138547945205479,4.508024287420059
2000,4.322814207650273,4.675046693548649
2001,3.697972602739726,4.880733877287382
2002,4.033424657534247,5.316728868927179
2003,3.229287671232877,2.8243985199283013
2004,3.274426229508197,2.987794814306073
2005,4.3868767123287675,4.618329912565575
2006,6.041068493150684,7.206917758980638
2007,3.9184109589041096,4.7182110921203835
2008,3.3249180327868855,3.59928285061823
2009,4.400767123287671,6.126620306070043
2010,7.512438356164384,11.540828503929976
2011,3.852027397260274,4.068119662642063
2012,2.461256830601093,2.0120551684423185
2013,4.416438356164384,4.7148253749522535
2014,3.4211780821917808,4.692803746868221
2015,3.4091232876712327,2.8403868073132688
2016,3.2725409836065573,3.352408457761232
2017,2.1228219178082193,1.9216771865271303
2018,1.9229780821917806,1.1854926871075964
2019,2.1345753424657534,1.337989728203376
2020,4.891775956284153,6.194858146042429
