time,Qobs,Qrouted
1,3.635439516129032,0.016554918173808577
2,4.65700796460177,0.018749079813442582
3,7.59631129032258,0.026834679159530892
4,5.108258333333334,0.017305563443082227
5,3.1502532258064515,0.015109281998778215
6,2.7233916666666667,0.023225698955828603
7,1.9524193548387097,0.019251223282424394
8,1.7069032258064516,0.014907115513554474
9,1.8846666666666665,0.012711602658810356
10,2.287731451612903,0.012339105921154404
11,2.0178024390243903,0.011342391899934924
12,2.5776490952006292,0.016502560555411713
