time,Qobs,Qrouted
1980,4.204262295081967,3.1751827800841785
1981,7.159397260273972,4.140098691084659
1982,5.674383561643836,3.5025505608975585
1983,4.225041095890411,3.1827624153236167
1984,3.8012295081967213,2.708548702635023
1985,7.325506849315068,7.052834917329746
1986,6.986410958904109,6.581238212001293
1987,9.710438356164383,9.866402126779127
1988,6.452704918032787,5.937669393916333
1989,3.2648219178082196,3.421607613326523
1990,1.8196438356164382,2.1671602935198613
1991,1.813232876712329,2.7293634215165756
1992,3.855,3.5179611197578327
1993,2.5184383561643835,2.7582564110254517
1994,3.76027397260274,2.8925291641416964
1995,3.920356164383562,5.069889515753973
1996,9.120327868852458,6.591982408297296
1997,6.798328767123287,7.400530284359188
1998,3.3643013698630138,3.638398473519524
1999,4.820575342465753,4.185115220307865
2000,5.717841530054645,4.849272052605441
2001,5.132520547945205,6.457843005321086
2002,8.862876712328767,10.721461242472902
2003,4.494794520547945,4.033990326629949
2004,5.840683060109289,6.276245930591725
2005,5.188273972602739,5.975644784826275
2006,7.969095890410959,8.786755043353551
2007,3.95441095890411,5.251987319243608
2008,3.637322404371585,3.4746751667918025
2009,5.578164383561644,6.653199177635038
2010,8.00350684931507,10.18465539723349
2011,4.332493150684932,4.595453472540259
2012,3.2527049180327867,3.673702952795996
2013,5.626246575342465,6.7700781790876094
2014,3.036164383561644,5.195534719811183
2015,3.407495890410959,3.3712481667856102
2016,3.031256830601093,2.6681945992168905
2017,1.919972602739726,2.323239667848771
2018,1.715980821917808,1.6327836599722605
2019,3.0304657534246573,2.8846821975576398
2020,5.325109289617487,7.755520341701158
