time,Qobs,Qrouted
1,0.5001154315605928,0.4875709944273715
2,0.6612497131931167,0.6236116696307616
3,1.0105374891020054,0.8801492819583825
4,0.7955007207207208,0.6636449754025615
5,0.4967024411508283,0.5067780023745379
6,0.38102756756756756,0.5468277992837863
7,0.32263173496076725,0.49183576766421655
8,0.3555575414123801,0.5494404730029178
9,0.2821287387387387,0.37429184962168544
10,0.3078841325196164,0.29177458432976494
11,0.2993602631578947,0.29578352938407587
12,0.39160517826825125,0.3440063370578626
