time,Qobs,Qrouted
1980,5.648196721311476,2.6864109304004993
1981,8.020931506849315,3.6936754264070504
1982,8.664509589041096,4.5143717128954695
1983,8.32772602739726,5.000289777931537
1984,5.472349726775956,2.7529860762559037
1985,12.422520547945206,7.99347131336916
1986,9.424602739726028,6.316315606298431
1987,18.35,12.710006497163953
1988,10.183879781420766,6.682066616625063
1989,5.6257534246575345,3.8014875652635074
1990,3.715452054794521,2.1505542527097856
1991,4.445369863013698,2.289270979609037
1992,5.557650273224043,2.7520580589151367
1993,5.451846575342466,2.03864544192588
1994,4.649523287671233,2.2036418447161945
1995,6.935424657534246,3.682150738244317
1996,12.495546448087431,8.441297976512333
1997,9.663424657534247,7.971446680243438
1998,5.331808219178082,3.9021225993121944
1999,6.390575342465754,4.261287326448615
2000,7.708431693989072,5.09285820919694
2001,6.923945205479451,5.182284749014475
2002,15.99627397260274,13.8721643927395
2003,6.643964383561644,5.313612670261759
2004,10.1075956284153,7.1296538809490615
2005,8.740657534246576,5.912203240809782
2006,16.089260273972602,11.552500070276054
2007,7.8451150684931505,6.471152152904795
2008,6.590327868852459,6.489717904665291
2009,12.874931506849316,12.334987161483735
2010,14.06213698630137,14.264732017067248
2011,5.948602739726028,5.863935305227305
2012,6.034863387978143,5.279321536333234
2013,12.679041095890412,11.464676307175042
2014,5.834328767123289,6.525609993243222
2015,6.134846575342466,4.873210903238318
2016,4.967030054644809,4.341505256408198
2017,3.3846082191780824,2.136988936638094
2018,3.4854767123287673,1.498273088468135
2019,5.702402739726027,3.147181483642723
2020,7.947841530054644,8.373855080946482
