exceedance,Qobs,Qsim
0.0,19.6,15.6582067592901
1.0101010101010102,2.948787878787879,3.1299360159654124
2.0202020202020203,2.24,2.5305847455207795
3.0303030303030303,1.8763636363636367,2.1996173447885394
4.040404040404041,1.65,1.9761794894249067
5.050505050505051,1.5039393939393935,1.7898270982010505
6.0606060606060606,1.37,1.6495888702889143
7.070707070707071,1.28,1.5417628058686819
8.080808080808081,1.18,1.4275893596027929
9.090909090909092,1.11,1.3475410025081773
10.101010101010102,1.0478787878787872,1.268012902848305
11.111111111111112,0.99,1.1969348701362876
12.121212121212121,0.9425454545454545,1.1326134313286997
13.131313131313131,0.9,1.0718052108944551
14.141414141414142,0.86,1.0159959319189558
15.151515151515152,0.825,0.9612652023057014
16.161616161616163,0.796,0.9146612262057053
17.171717171717173,0.762,0.8651259847156217
18.181818181818183,0.74,0.8256028335700003
19.191919191919194,0.71,0.7919073575163718
20.202020202020204,0.691,0.7588226568204346
21.212121212121215,0.6654545454545452,0.7211378101352872
22.222222222222225,0.643,0.6924296535371818
23.232323232323235,0.62,0.6626344905569135
24.242424242424242,0.6,0.6354056926570032
25.252525252525253,0.59,0.6096715334968335
26.262626262626263,0.574,0.5851976576365496
27.272727272727273,0.552,0.5614724400173249
28.282828282828284,0.5396060606060608,0.5394192715233146
29.292929292929294,0.52,0.5184839091267893
30.303030303030305,0.5,0.4992196159971163
31.313131313131315,0.489,0.48119704563856397
32.323232323232325,0.474,0.4670078753409139
33.333333333333336,0.46,0.4508882035168262
34.343434343434346,0.449,0.4352276238882362
35.35353535353536,0.43075757575757523,0.42243188466571163
36.36363636363637,0.42,0.40791586678628794
37.37373737373738,0.406,0.39537501867969177
38.38383838383839,0.399,0.38299594025783634
39.3939393939394,0.385,0.3699788923997594
40.40404040404041,0.3721515151515144,0.3587995876727199
41.41414141414142,0.365,0.34637678046198206
42.42424242424243,0.359,0.3363551066806487
43.43434343434344,0.35,0.32561411509392657
44.44444444444445,0.339,0.3154733553209677
45.45454545454546,0.329,0.3054694893393383
46.46464646464647,0.32,0.295093718619419
47.47474747474748,0.31,0.284637887955572
48.484848484848484,0.3,0.2757029860858855
49.494949494949495,0.294,0.2657587497973534
50.505050505050505,0.287,0.2577324604289058
51.515151515151516,0.279,0.24838503695951927
52.525252525252526,0.27,0.2399219577907077
53.535353535353536,0.261,0.23123163044714942
54.54545454545455,0.256,0.2231490826248153
55.55555555555556,0.25,0.21586248900505725
56.56565656565657,0.242,0.20850703700843476
57.57575757575758,0.236,0.20132957921788658
58.58585858585859,0.23,0.19412664530143584
59.5959595959596,0.22,0.18774298378107646
60.60606060606061,0.218,0.18162942437450616
61.61616161616162,0.21,0.17531822433285227
62.62626262626263,0.204,0.16935941929939338
63.63636363636364,0.2,0.1636905150761012
64.64646464646465,0.195,0.15816513010231495
65.65656565656566,0.188,0.15258852580968668
66.66666666666667,0.182,0.14754813248690543
67.67676767676768,0.177,0.14226189052600713
68.68686868686869,0.17,0.13774608034870472
69.6969696969697,0.164,0.13218604173141382
70.70707070707071,0.158,0.12797095750857104
71.71717171717172,0.151,0.12245351888470779
72.72727272727273,0.145,0.11746667873379617
73.73737373737374,0.139,0.11249559356296596
74.74747474747475,0.134,0.10713576273629541
75.75757575757576,0.13,0.10228652692360202
76.76767676767678,0.125,0.09720636365020661
77.77777777777779,0.12,0.09129503578540844
78.7878787878788,0.115,0.08581757072357929
79.7979797979798,0.111,0.08061886287243468
80.80808080808082,0.108,0.0758859734149503
81.81818181818183,0.1,0.07136749475014817
82.82828282828284,0.097,0.06678926079651251
83.83838383838385,0.0915,0.06276515871083331
84.84848484848486,0.0861,0.059029094415734014
85.85858585858587,0.08,0.05482916278417379
86.86868686868688,0.07395757575757561,0.051186756547061694
87.87878787878789,0.069,0.04728642744045645
88.8888888888889,0.064,0.04313868662046736
89.89898989898991,0.0581,0.03934411446378172
90.90909090909092,0.0548,0.03548419560135844
91.91919191919193,0.0512,0.03213106962783436
92.92929292929294,0.04625454545454514,0.02884157671583785
93.93939393939395,0.0404,0.025584417989744326
94.94949494949496,0.0383,0.022270591849696146
95.95959595959597,0.031,0.019092790269575843
96.96969696969697,0.026636363636363687,0.01574670787724431
97.97979797979798,0.022,0.011791176478415044
98.98989898989899,0.017212121212121335,0.008317725353998006
100.0,0.006,0.001257791671775505
