time,Qobs,Qrouted
1980,3.439016393442623,3.141605431543885
1981,5.632465753424658,4.086764117444212
1982,5.179098630136987,3.3946568550322858
1983,4.001531506849315,3.0656033762877715
1984,3.8183333333333334,2.6745114165951542
1985,6.603780821917809,6.881767748344512
1986,5.967287671232876,6.399241176952808
1987,9.424465753424657,9.550962609100845
1988,6.163524590163934,5.822235987297791
1989,3.4446575342465753,3.375572562095146
1990,2.6047397260273972,2.1583327944050477
1991,2.9252000000000002,2.717112142282183
1992,4.222341530054645,3.4964382476779803
1993,3.4509479452054794,2.755611055665468
1994,3.7379041095890413,2.875837609570059
1995,5.229520547945206,5.0591884903945745
1996,7.948196721311476,6.469870943745434
1997,6.96,7.196681337766294
1998,3.9853698630136987,3.5794149813672975
1999,4.998356164383562,4.110000829096189
2000,5.6712295081967214,4.749153925584401
2001,5.880438356164384,6.368538638082496
2002,8.742027397260275,10.532053319966344
2003,4.248739726027397,3.897414790750243
2004,6.099262295081967,6.201320597023107
2005,5.489945205479452,5.884106146029167
2006,8.071397260273972,8.617593228804623
2007,4.656912328767123,5.200990530530728
2008,3.6125273224043712,3.4419191072331787
2009,5.95386301369863,6.537695409401854
2010,7.567945205479453,9.57301378771957
2011,4.268,4.4103646283297815
2012,3.851707650273224,3.641179868442727
2013,6.318054794520548,6.610272222791379
2014,3.936904109589041,5.084099763461553
2015,3.6476328767123287,3.2926671154095217
2016,3.0891530054644813,2.621181117938585
2017,2.760915068493151,2.3174379104043297
2018,2.582805479452055,1.6171514442291937
2019,3.9241452054794523,2.869426165923529
2020,6.375710382513661,7.6080632121584815
